Case 1 - Low Confidence ( 122 )
==================================================
HYPONYM(judges, dignitaries)
HYPONYM(a_$3_day_pass, multitrip_discounts)
HYPONYM(the_financial_legacy, an_even_larger_debt)
HYPONYM(producer, several_capacities)
HYPONYM(an_11_percent_decline, down_4_percent)
HYPONYM(pioneer, some_companies)
HYPONYM(the_public, everyone)
HYPONYM(the_auto_industry, other_industries)
HYPONYM(multiple_boom_boxes, electronic_sources)
HYPONYM(djembes, african_drums)
HYPONYM(a_trip_mr._sharpton, travel)
HYPONYM(spin-off_effects, annual_revenues)
HYPONYM(j._p._morgan_fleming, american_fund_managers)
HYPONYM(apple, computer_makers)
HYPONYM(canada, several_countries)
HYPONYM(stock_portfolios, various_means)
HYPONYM(foccacia, things)
HYPONYM(influenza, other_viruses)
HYPONYM(the_owner, the_relocation_committee)
HYPONYM(prisoners, camp_operations)
HYPONYM(the_pianist_bruce_barth, a_quartet)
HYPONYM(bakery, historic_sites)
HYPONYM(the_rich_string_section, the_orchestra)
HYPONYM(texas, 13_states)
HYPONYM(the_weight_clause, still_issues)
HYPONYM(children, ordinary_people)
HYPONYM(cable_news_operations, two_dozen_television_stations)
HYPONYM(american_armored_personnel_carriers, machines)
HYPONYM(cellphones, things)
HYPONYM(a_rude_french_tree, adults)
HYPONYM(formal_portraits, photographs)
HYPONYM(''angel_street, several_plays)
HYPONYM(electrochemical_batteries, electricity)
HYPONYM(bebop, more_modern_approaches)
HYPONYM(the_office, several_organizations)
HYPONYM(tax_returns, personal_material)
HYPONYM(republicans_close, some_state_officials)
HYPONYM(the_world_war_ii_papers, previously_unavailable_sources)
HYPONYM(ancestors, 12,000_individuals)
HYPONYM(some_oil_fields, possibly_additional_territory)
HYPONYM(japan, key_members)
HYPONYM(kenneth_l._lay, the_company)
HYPONYM(tehran, major_cities)
HYPONYM(a_fourth-and-26, unyielding_pressure)
HYPONYM(psychiatric_tests, examinations)
HYPONYM(the_lone_woman, own_troubles)
HYPONYM(better_health_care, benefits)
HYPONYM(sheik_yassin, four_senior_hamas_leaders)
HYPONYM(acorns, tree_seeds)
HYPONYM(the_restoration, april)
HYPONYM(saudi_arabia, several_opec_representatives)
HYPONYM(cabbage_patch_kids, literary_characters)
HYPONYM(dvd_players, things)
HYPONYM(dizzy_gillepsie, luminaries)
HYPONYM(the_massacre, recent_years)
HYPONYM(the_actual_decisions, the_lower-court_records)
HYPONYM(personal_investment_records, personal_material)
HYPONYM(former_f._b._i._agents, independent_auditors)
HYPONYM(vacancy_rates, relevant_factors)
HYPONYM(nationwide_chemical_tests, fertilizer)
HYPONYM(opals, exotic_stones)
HYPONYM(equestrians, user_groups)
HYPONYM(eliza_gilkyson, songwriters)
HYPONYM(teaching, other_areas)
HYPONYM(terror_attacks, emergencies)
HYPONYM(the_election, unprecedented_degrees)
HYPONYM(monsanto, big_seed_companies)
HYPONYM(requests, other_groups)
HYPONYM(vilda_chaya, characters)
HYPONYM(environmental_appeasement, an_approach)
HYPONYM(maniacal_hand_gestures, signals)
HYPONYM(information, personal_material)
HYPONYM(a_construction_affiliate, companies)
HYPONYM(swiss_authorities, 35_people)
HYPONYM(the_slaughter, handling)
HYPONYM(sheldon_silver, democratic_legislators)
HYPONYM(chops, homey_dishes)
HYPONYM(the_quality, a_wireless_phone_call)
HYPONYM(an_annual_state, the_quarterly_sand_paper)
HYPONYM(connecticut, 13_states)
HYPONYM(a_virtually_solid_suit, 22_high-card_points)
HYPONYM(the_game-winner, two_touchdowns)
HYPONYM(two_former_chief_executives, the_company)
HYPONYM(the_muscles, body_processes)
HYPONYM(monsanto, seed_companies)
HYPONYM(taxes, four-night_stay)
HYPONYM(cuts, the_financial_community)
HYPONYM(an_autographed_pink_cowboy_hat, britney_stuff)
HYPONYM(thousands, archival_material)
HYPONYM(wild_mushroom_tortellini, meat_dishes)
HYPONYM(inconsistent_therapy, problems)
HYPONYM(offensive_linemen_orlando_pace, high-profile_unrestricted_free_agents)
HYPONYM(previously_uncollected_work, a_vast_anthology)
HYPONYM(ethel, contemporary_music)
HYPONYM(john_edwards, competitors)
HYPONYM(a_palestinian_cameraman, the_american_military)
HYPONYM(the_crew, the_148_people)
HYPONYM(sacred_password, all_101_exercises)
HYPONYM(the_former_secretary, clinton_associates)
HYPONYM(danbury, cities)
HYPONYM(zoning, local_ordinances)
HYPONYM(briefcases, professional-looking_accessories)
HYPONYM(a_big_reason_vonage, internet-based_phone_providers)
HYPONYM(franz_kline, others)
HYPONYM(the_cuts, bankrupt_companies)
HYPONYM(b-action_movies, films)
HYPONYM(the_defense_department, big_customers)
HYPONYM(hospitals, many_industries)
HYPONYM(beer-tank_staves, other_buildings)
HYPONYM(air_quality, conditions)
HYPONYM(tenure_review, all_orchestra_personnel_matters)
HYPONYM(the_chairwoman, prominent_female_graduates)
HYPONYM(19th-century_textiles, items)
HYPONYM(bloomingdale, stores)
HYPONYM(a_service, retirement_programs)
HYPONYM(arlo_guthrie, musicians)
HYPONYM(energy_aid, concessions)
HYPONYM(china, other_major_countries)
HYPONYM(the_police_officers, rescue_workers)
HYPONYM(weather, a_wireless_phone_call)
HYPONYM(los_angeles, several_cities)
HYPONYM(new_incentives, several_tax_cut_proposals)
HYPONYM(mr._daschle, backers)
HYPONYM(daryl_roth, likely_producers)
HYPONYM(power_plants, industrial_boilers)
HYPONYM(this_weekend, telephone)
HYPONYM(parmalat, marketing)
HYPONYM(rescue_breathing, cardiac_arrest)
HYPONYM(computer_disks, files)
HYPONYM(''the_motorcycle_diaries, acquisition)
HYPONYM(coral, exotic_stones)
HYPONYM(saks_fifth_avenue, stores)
HYPONYM(the_war, the_day)
HYPONYM(nokia, smaller_competitors)
HYPONYM(merchants, business_owners)
HYPONYM(the_ghost, multiple_identities)
HYPONYM(major_cities, areas)
HYPONYM(hillary_clinton, others)
HYPONYM(carbon_dioxide, major_pollutants)
HYPONYM(insurance, a_week)
HYPONYM(a_step, bankrupt_companies)
HYPONYM(securities_fraud, crimes)
HYPONYM(tourism, concrete_benefits)
HYPONYM(artillery_pieces, machines)
HYPONYM(other_relatives, the_household)
HYPONYM(a_performance, the_newark_museum)
HYPONYM(story, quest_narratives)
HYPONYM(stints, various_jobs)
HYPONYM(terrorist_attacks, emergencies)
HYPONYM(the_procedures, new_security_measures)
HYPONYM(the_yale_architecture_professor_joel_sanders, young_turks)
HYPONYM(washington, some_cities)
HYPONYM(al_harrington, several_players)
HYPONYM(efforts, the_french_investigation)
HYPONYM(aid, other_programs)
HYPONYM(the_french_kitchen, a_major_draw)
HYPONYM(the_also-rans, the_football_games)
HYPONYM(the_earth, this_equatorial_slice)
HYPONYM(pension, total_compensation)
HYPONYM(almanac, weather_soothsayers)
HYPONYM(masks, cumbersome_equipment)
HYPONYM(meats, especially_certain_foods)
HYPONYM(carbon_dioxide, greenhouse_gases)
HYPONYM(the_new_york_times, news_organizations)
HYPONYM(new_york_city_schools, city_buildings)
HYPONYM(organized_crime, ''other_serious_crimes)
HYPONYM(medicaid, government_programs)
HYPONYM(several_pulitzer_prize_winners, noted_composers)
HYPONYM(the_concrete_barriers, security_measures)
HYPONYM(burns, minor_injuries)
HYPONYM(lbv, the_large_stars)
HYPONYM(photo_stores, shops)
HYPONYM(mayor_john_w._hickenlooper, dignitaries)
HYPONYM(sunrooms, glass_structures)
HYPONYM(green_tea, 16_flavors)
HYPONYM(a_plan, medicaid)
HYPONYM(250,000_household_employees, 5.3_million_workers)
HYPONYM($302,500, the_bankruptcy)
HYPONYM(the_fujian_strain, any_influenza_strain)
HYPONYM(civet_cats, exotic_species)
HYPONYM(xinyuan, markets)
HYPONYM(the_united_states, eight_nations)
HYPONYM(snoop_dogg, biggest_acts)
HYPONYM(rio_de_janeiro, eight_other_cities)
HYPONYM(war_crimes, large-scale_abuse)
HYPONYM(control_elements, high-value_targets)
HYPONYM(born-again_christian_fundamentalists, protestants)
HYPONYM(grocery_stores, all_retail_outlets)
HYPONYM(global_warming, environmental_scourges)
HYPONYM(some_repeat_visitors, a_year)
HYPONYM(breakfast, $125)
HYPONYM(banking, online_financial_services)
HYPONYM(senator_bruno, republicans)
HYPONYM(texas, several_states)
HYPONYM(dr._dre, biggest_acts)
HYPONYM(ronald_k._brown, choreographers)
HYPONYM(the_339_guest_rooms, recent_years)
HYPONYM(directtv_programming, seat-back_video_systems)
HYPONYM(mrs._ziegler, neighbors)
HYPONYM(alexander_hamilton, noted_residents)
HYPONYM(''the_nightingale, four_hans_christian_andersen_stories)
HYPONYM(the_speaker, democratic_legislators)
HYPONYM(the_mission_chief, 22_people)
HYPONYM(pencil_drawings, some_180_pieces)
HYPONYM(florida, 13_states)
HYPONYM(the_specific_computer, playback_device)
HYPONYM(morgan_stanley, big_wall_street_firms)
HYPONYM(thom_mayne, some_local_architects)
HYPONYM(johnny_unitas, no_colt)
HYPONYM(sustained_artillery_barrages, the_united_states_command)
HYPONYM(unmanned_space_exploration, other_priorities)
HYPONYM(picasso, others)
HYPONYM(the_aircraft, debris)
HYPONYM(max_lanier, the_ineligible_list)
HYPONYM(others, photographers)
HYPONYM(consumers, settlement_service_providers)
HYPONYM(new_york, three_states)
HYPONYM(tallow, other_products)
HYPONYM(wal-mart_stores, big_customers)
HYPONYM(the_release, the_candidate)
HYPONYM(miguel, day_workers)
HYPONYM(macintoshes, combined_unit_volume)
HYPONYM(the_supposedly_dovish_howard_dean, democratic_candidates)
HYPONYM(the_hospital, initiatives)
HYPONYM(hidden_cameras, each_store)
HYPONYM(the_comments, the_public)
HYPONYM(the_very_good_country_bread, things)
HYPONYM(credit_bureaus, settlement_service_providers)
HYPONYM(manned_space_flight, priorities)
HYPONYM(''the_furniture_masterworks, several_new_books)
HYPONYM(exhibitions, special_events)
HYPONYM(television_screenings, special_events)
HYPONYM(fidelity_investments, some_fund_companies)
HYPONYM(bryan_ferry, headliners)
HYPONYM(the_coalition, other_organizations)
HYPONYM(andy_reid, coaches)
HYPONYM(split-caps, other_closed-end_funds)
HYPONYM(the_republican_co-president, some_republicans)
HYPONYM(real_estate_taxes, landlords)
HYPONYM(safety_data, information)
HYPONYM(accusations, the_last_decade)
HYPONYM(mr._pretzinger, residents)
HYPONYM(l., some_fellow_lj'ers)
HYPONYM(tiny_muffins, cookies)
HYPONYM(sarah_lee_guthrie, songwriters)
HYPONYM(rafts, small_craft)
HYPONYM(areas, kennedy_airport)
HYPONYM(this_verse, dilemmas)
HYPONYM(the_lakers, the_championship)
HYPONYM(thomaston, seven_nassau_villages)
HYPONYM(parts, 100,000_square_miles)
HYPONYM(poltrona_frau, office_design)
HYPONYM(grenade_launchers, weapons)
HYPONYM(a._c._milan, soccer_clubs)
HYPONYM(the_party, democratic_leaders)
HYPONYM(restaurant_reviews, a_few_other_modules)
HYPONYM(oil_resources, matters)
HYPONYM(watercolors, some_180_pieces)
HYPONYM(beacons, avalanche_rescue_gear)
HYPONYM(spasms, subsequent_medical_problems)
HYPONYM(implants, full_repairs)
HYPONYM(an_upscale_sedan, several_new_vehicles)
HYPONYM(mr._tanzi, company_executives)
HYPONYM(pennsylvania, 13_states)
HYPONYM(noel_cottrell, san_francisco)
HYPONYM(food, $35)
HYPONYM(ellis_paul, well-known_folksingers)
HYPONYM(duck, meat_dishes)
HYPONYM(clorox, service_providers)
HYPONYM(john_kerry, competitors)
HYPONYM(medicaid, public_health_insurance_programs)
HYPONYM(child-raising, difficult_issues)
HYPONYM(hedge_funds, bernie-style_investors)
HYPONYM(the_sale, last_year)
HYPONYM(the_life_insurance_payouts, financial_safeguards)
HYPONYM(a_real_estate_concern, numerous_business_ventures)
HYPONYM(drug_dealers, ne'er-do-well_owners)
HYPONYM(the_citizens_assistance_bureau, other_organizations)
HYPONYM(700,000_restaurant_workers, 5.3_million_workers)
HYPONYM(ernest_logan, others)
HYPONYM(an_edgar_allan_poe_award, many_honors)
HYPONYM(some_industrial_space, mixed_use)
HYPONYM(large_orbs, eyelike_images)
HYPONYM(airline_tickets, travel_expenses)
HYPONYM(money_laundering, illicit_banking_activities)
HYPONYM(guantánamo_bay, locations)
HYPONYM(others, settlement_service_providers)
HYPONYM(mountain_bikers, user_groups)
HYPONYM(leases, f._a._o_schwarz_assets)
HYPONYM(the_arthur_andersen_accounting_firm, several_firms)
HYPONYM(the_club_ace, minor-suit_doubletons)
HYPONYM(assemblyman_brian_m._mclaughlin, others)
HYPONYM(basketball, favorite_charities)
HYPONYM(an_$85_million_credit_line, debt)
HYPONYM(russia, eastern_europe)
HYPONYM(math, many_fields)
HYPONYM(a_new_initiative, own_reform_effort)
HYPONYM(american_international_group, service_providers)
HYPONYM(firefighters, rescue_workers)
HYPONYM(fox_products, features)
HYPONYM(nfl_fever, games)
HYPONYM(the_main_global_warming_gas, major_pollutants)
HYPONYM(america, the_war)
HYPONYM(agency_officials, a_dozen_interests)
HYPONYM(picture-within-a-picture_capability, plasma_televisions)
HYPONYM(nagl, american_officers)
HYPONYM(yoshio_taniguchi, architecture)
HYPONYM(the_prime_minister, the_government)
HYPONYM(the_feudal_adventure, different_japanese_genres)
HYPONYM(police_captains, two_five-member_teams)
HYPONYM(a_disastrous_setback, the_allies)
HYPONYM(entercom, broadcasters)
HYPONYM(seven_members, thirteen_egyptians)
HYPONYM(parmesan_cheese, cuisine)
HYPONYM(money, difficult_issues)
HYPONYM(the_mayor, leaders)
HYPONYM(pajamas, 2.8_million_sleepwear_items)
HYPONYM(district_leaders, political_leaders)
HYPONYM(the_first_two_super_bowls, five_championships)
HYPONYM(the_muslim_student_association, many_american_muslims)
HYPONYM(james_cook, a_voluminous_bibliography)
HYPONYM(7_junior_suites, 257_rooms)
HYPONYM(the_kurdish_parties, political_groups)
HYPONYM(madame_c._j._walker, noted_residents)
HYPONYM(the_metropolitan, museums)
HYPONYM(the_execution, capital_punishment)
HYPONYM(the_merchant_marines, honors)
HYPONYM(viscera, the_human_body)
HYPONYM(london, eight_other_cities)
HYPONYM(actors, creative_people)
HYPONYM(a_democrat, several_county_executives)
HYPONYM(two_deaths, pedestrian_accidents)
HYPONYM(the_gates_foundation, organizations)
HYPONYM(cash_rebates, incentives)
HYPONYM(north_hills, companies)
HYPONYM(fidelity, american_fund_managers)
HYPONYM(nev., land-use_activists)
HYPONYM(the_american_immigration_lawyers_association, other_groups)
HYPONYM(the_gallant_ship_unit_citation, honors)
HYPONYM(knoll, office_design)
HYPONYM(graphic_artists, 60_designers)
HYPONYM(a_very_small_electric_motor, transducers)
HYPONYM(family_members, scientists)
HYPONYM(a_captain, the_firehouse)
HYPONYM(well-known_forms, 100_different_diseases)
HYPONYM(movie_posters, artifacts)
HYPONYM(the_arts, fields)
HYPONYM(''the_simpsons, series)
HYPONYM(skin, raw_fillets)
HYPONYM(the_grand_canyon, western_national_parks)
HYPONYM(liberal_women, religious_groups)
HYPONYM(the_possibility, logistical_matters)
HYPONYM(b._s._e., similar_brain-wasting_diseases)
HYPONYM(china, 120_countries)
HYPONYM(count_basie, leaders)
HYPONYM(many_national_champions, part)
HYPONYM(three_guest_composers, the_program)
HYPONYM(f, subway_service)
HYPONYM(jeffrey_k._skilling, the_company)
HYPONYM(corporate_tax_loopholes, forms)
HYPONYM(thursday_night, dunham)
HYPONYM(the_agriculture_department, agencies)
HYPONYM(the_authority, prosecutorial_powers)
HYPONYM(23_media_organizations, groups)
HYPONYM(a_dozen, state_legislatures)
HYPONYM(the_judge, courthouse_employees_''stood)
HYPONYM(''shipbreaking, other_works)
HYPONYM(programs, educational_outreach_efforts)
HYPONYM(biology, many_fields)
HYPONYM(robert_van_sice, composers)
HYPONYM(com, retail_stores)
HYPONYM(refineries, industrial_boilers)
HYPONYM(the_tajiks, ethnic_minorities)
HYPONYM(the_free-speech_advocate_floyd_abrams, the_respondents)
HYPONYM(mexico, several_countries)
HYPONYM(the_lifting, relations)
HYPONYM(superwoman, characters)
HYPONYM(computer_disks, financial_records)
HYPONYM(formal_drapes, the_styles)
HYPONYM(open_heart_surgery, services)
HYPONYM(the_cichettis, 10_applicants)
HYPONYM(moscow, eight_other_cities)
HYPONYM(germany, the_war)
HYPONYM(the_taxi_drivers, airport_regulars)
HYPONYM(the_pyramids, myriad_wonders)
HYPONYM(last_year, 15_albums)
HYPONYM(better_quality_reputations, reasons)
HYPONYM(g._e._d._programs, non-diploma-granting_programs)
HYPONYM(mr._wildmann, analysts)
HYPONYM(mass_killings, abuses)
HYPONYM(former_aides, political_observers)
HYPONYM(new_york, 10_states)
HYPONYM(chief_executive, prominent_female_graduates)
HYPONYM(economics, many_fields)
HYPONYM(grocers, the_beef_industry)
HYPONYM(the_popular_art_commentator_sister_wendy_beckett, the_respondents)
HYPONYM(social_security, other_programs)
HYPONYM(the_two_countries, all_bilateral_issues)
HYPONYM(a_free-trade_agreement, multilateral_issues)
HYPONYM(every_big_new_zealand_name, 600_wines)
HYPONYM(norman_foster, architecture)
HYPONYM(a_minivan, several_new_vehicles)
HYPONYM(a_former_white_house_official, north_korea)
HYPONYM(the_stuart_court, visual_aspects)
HYPONYM(the_percentage, that_flight)
HYPONYM(biological_agents, illicit_weapons)
HYPONYM(lobbyists, good_government_initiatives)
HYPONYM(american_officials, other_countries)
HYPONYM(florida, several_states)
HYPONYM(the_academy, the_state)
HYPONYM(chris_rock, many_contemporary_comedians)
HYPONYM(the_1996_champions, seven_seasons)
HYPONYM(mr._gephardt, candidates)
HYPONYM(mr._jimenez, last_year)
HYPONYM(uncut, the_division)
HYPONYM(janitors, other_staff_members)
HYPONYM(evangelicals, conservatives)
HYPONYM(e-mail, other_unregulated_internet_services)
HYPONYM(jazz, mutual_interests)
HYPONYM(climate_change, models)
HYPONYM(a_woman, not_slave_masters)
HYPONYM(woman_trouble, frustrations)
HYPONYM(domingo_barreres, investitures)
HYPONYM(tunnels, possible_targets)
HYPONYM(east_jerusalem, the_west_bank)
HYPONYM(delaware, far-flung_places)
HYPONYM(a_1991_biography, 40_books)
HYPONYM(the_same_accommodations_hikers, user_groups)
HYPONYM(ray_romano, many_contemporary_comedians)
HYPONYM(planned_suicide_bombings, attacks)
HYPONYM(winter_olympics, numerous_sports_events)
HYPONYM(civet_cats, 148_animals)
HYPONYM(partridge_families, better-behaved_inhabitants)
HYPONYM(maintenance, back-office_needs)
HYPONYM(all_personnel_decisions, the_team)
HYPONYM(the_draft, all_player_personnel_decisions)
HYPONYM(jon_stewart, many_contemporary_comedians)
HYPONYM(''skin, this_fall)
HYPONYM(hezbollah, terrorist_organizations)
HYPONYM(the_new_system, ''recent_episodes)
HYPONYM(an_about-face, tuesday)
HYPONYM(gonzaga, greatest_melodies)
HYPONYM(a_truly_dantean_fate, several_ingenious_surprises)
HYPONYM(the_bureau, agencies)
HYPONYM(80_current_members, some_3,600_candidates)
HYPONYM(accounting_practices, internal_controls)
HYPONYM(the_former_devils, five_regulars)
HYPONYM(tehran, big_cities)
HYPONYM(''four_weddings, reasonably_palatable_confections)
HYPONYM(the_hazaras, afghan_nationalities)
HYPONYM(the_three_victories, those_statistics)
HYPONYM(shelly_lazarus, prominent_female_graduates)
HYPONYM(thomas_r._suozzi, several_county_executives)
HYPONYM(deutsche_bank, mightiest_banks)
HYPONYM(pinnacle_clean_plus, some_lp_restoration_software_suites)
HYPONYM(the_star_point_guard_brandin_knight, three_starters)
HYPONYM(the_motor, systems)
HYPONYM(john_kerry, others)
HYPONYM(bethlehem_steel, steel_companies)
HYPONYM(al_qaeda, terrorist_groups)
HYPONYM(humvees, replacement_equipment)
HYPONYM(chemical_tests, fertilizer)
HYPONYM(budget_amendments, policy_decisions)
HYPONYM(the_urgencies, influences)
HYPONYM(a_stadium, sites)
HYPONYM(terrence_sweeney, the_firehouse)
HYPONYM(hunting_jackets, gear)
HYPONYM(local_stations, two_dozen_television_stations)
HYPONYM(hezbollah, militant_groups)
HYPONYM(pioneer, big_seed_companies)
HYPONYM(facilities_upgradings, security_enhancements)
HYPONYM(a_musical_version, theater_row)
HYPONYM(oliver_knussen, composers)
HYPONYM(improper_12b-1_fees, abuses)
HYPONYM(an_increase, the_third_voyage)
HYPONYM(pump, $99.99)
HYPONYM(specialized_fraud_detection_software, each_store)
HYPONYM(parcells, training_camps)
HYPONYM(mr._markovich, sweepers)
HYPONYM(plant_delights_nursery, many_companies)
HYPONYM(windows_media, various_formats)
HYPONYM(north_korea, the_administration)
HYPONYM(the_turnbulls, several_choir_officials)
HYPONYM(''no, general_manager)
HYPONYM(robes, 2.8_million_sleepwear_items)
HYPONYM(a_fitness_center, facilities)
HYPONYM(the_wb, networks)
HYPONYM(the_summer, numerous_sports_events)
HYPONYM(sanitation, vital_services)
HYPONYM(suspicion, several_charges)
HYPONYM(that_end, business_owners)
HYPONYM(a_dozen, spots)
HYPONYM(restaurants, the_beef_industry)
HYPONYM(user_fees, fees)
HYPONYM(low-interest_loans, incentives)
HYPONYM(nokia, international_readers)
HYPONYM(gowns, 2.8_million_sleepwear_items)
HYPONYM(strawberry, 16_flavors)
HYPONYM(the_united_states, the_international_community)
HYPONYM(conversations, additional_materials)
HYPONYM(winter_rules, skirtings)
HYPONYM(diamond_peak, ski_areas)
HYPONYM(pioneer, seed_companies)
HYPONYM(stimulating_growth, agenda)
HYPONYM(power_plants, industrial_facilities)
HYPONYM(a_''pilot, two_iranian_nuclear_sites)
HYPONYM(retailing, mixed_use)
HYPONYM(other_programs, favorite_charities)
HYPONYM(yakuza, japanese_genre_films)
HYPONYM(agriculture, the_overall_questions)
HYPONYM(smoke_inhalation, minor_injuries)
HYPONYM(education_department_supervisors, teams)
HYPONYM(mr._harvey, prosecutors)
HYPONYM(coach_ben_howland, three_starters)
HYPONYM(considerate_behavior, mundane_miracles)
HYPONYM(fever_seizures, neurological_disorders)
HYPONYM(the_gordon_towers, similar_prices)
HYPONYM(special_forces_operatives, behalf)
HYPONYM(fat_oil, products)
HYPONYM(the_identification, minor_criticism)
HYPONYM(''no, vendor)
HYPONYM(francis_bacon, others)
HYPONYM(arbus, a_few_others)
HYPONYM(a_vice_president, others)
HYPONYM(google, search_engines)
HYPONYM(circuit_city, the_others)
HYPONYM(1,400_bradley_fighting_vehicles, replacement_equipment)
HYPONYM(combat_vehicles, equipment)
HYPONYM(box_office_commissions, fees)
HYPONYM(620,000_construction_workers, 5.3_million_workers)
HYPONYM(hospital, significant_new_rights)
HYPONYM(oil_paintings, some_180_pieces)
HYPONYM(rents, relevant_factors)
HYPONYM(slaid_cleaves, well-known_folksingers)
HYPONYM(other_grains, especially_certain_foods)
HYPONYM(that_bottom_half, the_league)
HYPONYM(the_restoration, relations)
HYPONYM(mr._khodorkovsky, tycoons)
HYPONYM(the_american_jewish_committee, eastern_europe)
HYPONYM(the_mosaics, artworks)
HYPONYM(title_agents, settlement_service_providers)
HYPONYM(dance_performances, special_events)
HYPONYM(the_cows, better-behaved_inhabitants)
HYPONYM(digital_photographs, the_last_applications)
HYPONYM(the_founder, top_executives)
HYPONYM(certain_aspects, firehouse_culture)
HYPONYM(health_maintenance_organizations, private_health_plans)
HYPONYM(sweetbreads, some_fashion)
HYPONYM(florida, some_states)
HYPONYM(ramadi, former_baath_party_citadels)
HYPONYM(skins, such_feats)
HYPONYM(finger_limes, indigenous_limes)
HYPONYM(henry_a._kissinger, the_suit)
HYPONYM(the_same_time, lawyers)
HYPONYM(the_mosque, 32_people)
HYPONYM(the_united_states, partners)
HYPONYM(24_alpine_suites, 257_rooms)
HYPONYM(auto_plants, factories)
HYPONYM(an_estimated_10,000_civets, animals)
HYPONYM(john_graham, others)
HYPONYM(social_realism, many_different_styles)
HYPONYM(suspected_terrorists, criminals)
HYPONYM(''jenny_gerhardt, raw_deals)
HYPONYM(parma_ham, cuisine)
HYPONYM(holly_hunt, office_design)
HYPONYM(36_outlet_centers, space)
HYPONYM(a_requirement, place)
HYPONYM(the_mavericks, the_championship)
HYPONYM(creamed_chicken, some_fashion)
HYPONYM(canada, 27_countries)
HYPONYM(british_airways, international_readers)
HYPONYM(obstruction, five_federal_crimes)
HYPONYM(davis_love_iii, tour_heavyweights)
HYPONYM(other_cities, states)
HYPONYM(textiles, precious_goods)
HYPONYM(meat_regulations, issues)
HYPONYM(intel, clients)
HYPONYM(office_and-or, better_uses)
HYPONYM(cancer_treatment, services)
HYPONYM(''i, politically_incorrect_sentiments)
HYPONYM(medical_costs, total_compensation)
HYPONYM(mickey_kantor, clinton_associates)
HYPONYM(breakpoint_discounts, abuses)
HYPONYM(''big_daddy, other_sandler_projects)
HYPONYM(savory_beef, stuffings)
HYPONYM(olympic_qualifiers, all_international_competitions)
HYPONYM(expressionism, many_different_styles)
HYPONYM(sex, difficult_issues)
HYPONYM(the_war, canada)
HYPONYM(the_oldest_lighthouse, stony_point)
HYPONYM(comcast, service_providers)
HYPONYM(juventus, soccer_clubs)
HYPONYM(antipasto, best_bets)
HYPONYM(some_family_members, own_fusion_band)
HYPONYM(secretary_ann_m._veneman, the_agriculture_department)
HYPONYM(secret_service_agents, tell-tale_signs)
HYPONYM(manga, japanese_genre_films)
HYPONYM(four_children, least_19_people)
HYPONYM($25, other_incentives)
HYPONYM(pastoral_care, other_areas)
HYPONYM(the_meridian, contemporary_music)
HYPONYM(kashmir, all_bilateral_issues)
HYPONYM(wertheim_national_wildlife_refuge, some_areas)
HYPONYM(an_indoor-outdoor_pool, facilities)
HYPONYM(mr._mccarthy, republicans)
HYPONYM(fund_managers, insiders)
HYPONYM(a_funeral, reasonably_palatable_confections)
HYPONYM(poor_test_scores, problems)
HYPONYM(the_national_networks, two_dozen_television_stations)
HYPONYM(spielman, seven_candidates)
HYPONYM(hewlett-packard, the_new_york_stock_exchange)
HYPONYM(professor_rhode, legal_experts)
HYPONYM(the_rams, each_meeting)
HYPONYM(the_great_observatory_programs, nasa)
HYPONYM(an_uneven_curriculum, problems)
HYPONYM(waimata_farmhouse_blue, three_new_zealand_cheeses)
HYPONYM(sangbas, african_drums)
HYPONYM(awards, five_tonys)
HYPONYM(print_designers, 60_designers)
HYPONYM(the_wall_street_journal, several_news_organizations)
HYPONYM(scandinavia, european_host_countries)
HYPONYM(the_united_states, rich_countries)
HYPONYM(militant_wahhabism, religious_doctrines)
HYPONYM(hot_wheels, classic_toys)
HYPONYM(high_teacher_turnover, problems)
HYPONYM(auditions, all_orchestra_personnel_matters)
HYPONYM(cardinal_bernard_f._law, church_officials)
HYPONYM(palestinian_suicide_bombings, attacks)
HYPONYM(fuji_bank, major_companies)
HYPONYM(the_stabat_mater, works)
HYPONYM(fabric_researchers, 60_designers)
HYPONYM(treasuries, investment-grade_bonds)
HYPONYM(''knitting, idiotic_comments)
HYPONYM(increase_antiterrorist_precautions, several_cities)
HYPONYM(erez, places)
HYPONYM(''who_wants, previous_reality_hits)
HYPONYM(walker_evans, photographers)
HYPONYM(nondestructive_evaluation, monitoring)
HYPONYM(patents, intellectual_property)
HYPONYM(t-bone_steaks, 24-hour_food_service)
HYPONYM(muscle_meat, body_parts)
HYPONYM(leon_fleisher, composers)
HYPONYM(stimulating_economic_growth, agenda)
HYPONYM(gas_centrifuges, nuclear_gear)
HYPONYM(real_estate_taxes, expenses)
HYPONYM(just_one_example, security_forces)
HYPONYM(better_mileage, several_advantages)
HYPONYM(russia, 120_countries)
HYPONYM(100_police_officers, last_year)
HYPONYM(mtv, networks)
HYPONYM(angels_chapter, motorcycle_gangs)
HYPONYM(banking, the_financial_sector)
HYPONYM(kartell, office_design)
HYPONYM(small_business, loans)
HYPONYM(several_thousand_dollars, sundry_items)
HYPONYM(the_care, every_day)
HYPONYM(the_lawmakers, dignitaries)
HYPONYM(introductions, occasional_essays)
HYPONYM(1_thai_chili, small_hot_chili_pepper)
HYPONYM(veteran_school_administrators, experts)
HYPONYM(the_inevitable_attrition, the_calendar)
HYPONYM(the_back_ones, impassable_roads)
